date,time,username,Profile_name,account_status,posts_number,Followers,Following,bio,joined,birthdate,link,categories,location,profile_pic,background_pic
2023-08-10,01:39:59,@Geo_AW,Geo,verified,33.2K posts,802,131.6K,"@Sanjistars_
 ",Joined June 2010,-,-,-,"Houston, TX",https://pbs.twimg.com/profile_images/1666063330010710016/MwvfI8KZ_200x200.jpg,https://pbs.twimg.com/profile_banners/158478342/1680545848/1080x360
2023-08-10,01:54:16,@Geo_AW,Geo,verified,33.2K posts,802,131.6K,"@Sanjistars_
 ",Joined June 2010,-,-,-,"Houston, TX",https://pbs.twimg.com/profile_images/1666063330010710016/MwvfI8KZ_200x200.jpg,https://pbs.twimg.com/profile_banners/158478342/1680545848/1080x360
2023-08-10,11:04:35,@Geo_AW,Geo,verified,33.2K posts,802,131.8K,"@Sanjistars_
 ",Joined June 2010,-,-,-,"Houston, TX",https://pbs.twimg.com/profile_images/1666063330010710016/MwvfI8KZ_200x200.jpg,https://pbs.twimg.com/profile_banners/158478342/1680545848/1080x360
2023-08-10,23:28:01,@Geo_AW,Geo,verified,33.3K posts,805,131.9K,"@Sanjistars_
 ",Joined June 2010,-,-,-,"Houston, TX",https://pbs.twimg.com/profile_images/1666063330010710016/MwvfI8KZ_200x200.jpg,https://pbs.twimg.com/profile_banners/158478342/1680545848/1080x360
